,dataset,max_depth,precision,accuracy,recall,F1
5,train,5,0.9077324870243645,0.9067641177687376,0.8736795214458445,0.890380530829969
10,train,10,0.9592244456817214,0.9533200027580501,0.9319078528700522,0.9453688610577621
15,train,15,0.9842079610073111,0.9775908432738054,0.9637584319714904,0.9738758580775846
20,train,20,0.99439479837289,0.9923188305867752,0.9878452335497009,0.9911091956775049
25,train,25,0.9994262033790245,0.9987037164724539,0.9975817742140766,0.998503137042581
30,train,30,1.0,0.9999172584982418,0.9998090874379534,0.9999045346062053
35,train,35,1.0,1.0,1.0,1.0
40,train,40,1.0,1.0,1.0,1.0
45,train,45,1.0,1.0,1.0,1.0
50,train,50,1.0,1.0,1.0,1.0
55,train,55,1.0,1.0,1.0,1.0
60,train,60,1.0,1.0,1.0,1.0
65,train,65,1.0,1.0,1.0,1.0
70,train,70,1.0,1.0,1.0,1.0
75,train,75,1.0,1.0,1.0,1.0
80,train,80,1.0,1.0,1.0,1.0
85,train,85,1.0,1.0,1.0,1.0
90,train,90,1.0,1.0,1.0,1.0
95,train,95,1.0,1.0,1.0,1.0
100,train,100,1.0,1.0,1.0,1.0
