preference,silhouette_score,n_clusters
-100.0,0.15877614199214046,4.0
-98.0,0.153280237398191,4.0
-96.0,0.153280237398191,4.0
-94.0,0.153280237398191,4.0
-92.0,0.153280237398191,4.0
-90.0,0.1527774540860216,5.0
-88.0,0.15877614199214046,4.0
-86.0,0.16746527143810158,4.0
-84.0,0.1527774540860216,5.0
-82.0,0.153280237398191,4.0
-80.0,0.18844054937341861,4.0
-78.0,0.18904253510654137,4.0
-76.0,0.17285540584788184,5.0
-74.0,0.17285540584788184,5.0
-72.0,0.17285540584788184,5.0
-70.0,0.17285540584788184,5.0
-68.0,0.17285540584788184,5.0
-66.0,0.17285540584788184,5.0
-64.0,0.17285540584788184,5.0
-62.0,0.17285540584788184,5.0
-60.0,0.18318135469996977,6.0
-58.0,0.18318135469996977,6.0
-56.0,0.20118042030593164,7.0
-54.0,0.18422905368913262,7.0
-52.0,0.20228628926813522,7.0
-50.0,0.20228628926813522,7.0
-48.0,0.20228628926813522,7.0
-46.0,0.1680241138370332,8.0
-44.0,0.1896193434031702,7.0
-42.0,0.1896193434031702,7.0
-40.0,0.16225632094112552,8.0
-38.0,0.18821508898609296,8.0
-36.0,0.18586719805556584,8.0
-34.0,0.16856981582570515,9.0
-32.0,0.1589469005765476,11.0
-30.0,0.146746807061093,10.0
-28.0,0.1589469005765476,11.0
-26.0,0.1589469005765476,11.0
-24.0,0.1589469005765476,11.0
-22.0,0.1589469005765476,11.0
-20.0,0.1589469005765476,11.0
-18.0,0.15548959030444612,12.0
-16.0,0.15989761582747777,12.0
-14.0,0.1689302490648782,16.0
-12.0,0.16895828713435324,18.0
-10.0,0.17126814951754354,25.0
-8.0,0.1681457668153563,29.0
-6.0,0.16484123437492035,35.0
-4.0,0.15687895510371894,45.0
-2.0,0.12985791361298216,86.0
